Txn_id,Timestamp,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type,total_risk_score,risk_tier,triggered_rules,rule_reasons
548,2026-05-07 13:03:25,5982914936,6615626527,22245.53,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 22,245.53 UK pounds exceeds threshold of 8,000.00"
549,2026-05-07 13:03:32,6679205752,5109623450,12178.04,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,178.04 UK pounds exceeds threshold of 8,000.00"
550,2026-05-07 13:03:37,3614082527,9145896387,8278.05,UK pounds,UK pounds,UK,UK,Credit card,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,278.05 UK pounds exceeds threshold of 8,000.00; Smurfing: account '3614082527' made 3 transactions totalling 25,965.37 within 24h (each below 9,999.00 threshold)"
551,2026-05-07 13:03:37,5300701883,6254659797,522.95,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Fan-Out/Money-Mule,20,LOW,RapidMovement,RapidMovement: account '6254659797' received 522.95 then re-sent 697.22 (133.3%) within 24h
552,2026-05-07 13:03:38,1171263460,351184098,7173.29,UK pounds,UK pounds,UK,UK,ACH,0,Fan-Out/Money-Mule,20,LOW,RapidMovement,"RapidMovement: account '351184098' received 7,173.29 then re-sent 11,904.71 (166.0%) within 24h"
553,2026-05-07 13:03:41,45683332,3881391727,15679.96,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 15,679.96 UK pounds exceeds threshold of 8,000.00"
554,2026-05-07 13:03:44,9296142684,5708936901,7418.22,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
555,2026-05-07 13:03:47,3614082527,833800673,20264.42,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 20,264.42 UK pounds exceeds threshold of 8,000.00"
556,2026-05-07 13:03:50,5452849099,4336977506,8616.78,UK pounds,UK pounds,UK,UK,Debit card,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,616.78 UK pounds exceeds threshold of 8,000.00; Smurfing: account '5452849099' made 3 transactions totalling 25,781.09 within 24h (each below 9,999.00 threshold)"
557,2026-05-07 13:03:53,3918102756,1940409825,3019.15,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
558,2026-05-07 13:03:53,398847987,6953672776,13308.63,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,308.63 UK pounds exceeds threshold of 8,000.00"
559,2026-05-07 13:03:53,7126621709,3020817875,5548.18,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
560,2026-05-07 13:03:55,5359860218,6624071688,715.29,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
561,2026-05-07 13:03:56,7391340607,843169680,649.46,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
562,2026-05-07 13:03:58,1597361156,5090625597,58.44,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
563,2026-05-07 13:04:03,8987848252,7140265767,5305.34,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '8987848252' made 3 transactions totalling 16,454.78 within 24h (each below 9,999.00 threshold)"
564,2026-05-07 13:04:03,5764479195,6855935396,5771.01,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '5764479195' made 3 transactions totalling 17,410.22 within 24h (each below 9,999.00 threshold)"
565,2026-05-07 13:04:03,4333653993,5625518678,4449.61,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
566,2026-05-07 13:04:09,7512140206,6646502650,7977.04,UK pounds,Euro,UK,France,Cross-border,0,,0,LOW,,
567,2026-05-07 13:04:10,6949764034,1612314007,14515.56,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 14,515.56 UK pounds exceeds threshold of 8,000.00"
568,2026-05-07 13:04:14,5774648533,7892884492,11014.02,UK pounds,US dollar,UK,USA,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,014.02 UK pounds exceeds threshold of 8,000.00"
569,2026-05-07 13:04:15,1915450576,5162401694,10491.33,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,491.33 UK pounds exceeds threshold of 8,000.00"
570,2026-05-07 13:04:15,5242230374,7261835634,265152.74,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 265,152.74 UK pounds exceeds threshold of 8,000.00"
571,2026-05-07 13:04:21,520713149,2570595920,3333.62,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
572,2026-05-07 13:04:21,3182765311,3200398368,4909.94,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
573,2026-05-07 13:04:23,4024921053,1431561040,7003.8,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '4024921053' made 3 transactions totalling 20,971.24 within 24h (each below 9,999.00 threshold)"
574,2026-05-07 13:04:23,4117755003,6646502650,8452.54,UK pounds,Euro,UK,France,Cross-border,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,452.54 UK pounds exceeds threshold of 8,000.00; Smurfing: account '4117755003' made 3 transactions totalling 25,468.32 within 24h (each below 9,999.00 threshold)"
575,2026-05-07 13:04:24,5341263239,1176518598,1077.44,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
576,2026-05-07 13:04:26,9162887426,7160736915,5235.54,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '9162887426' made 3 transactions totalling 15,697.72 within 24h (each below 9,999.00 threshold)"
577,2026-05-07 13:04:27,7234361451,8300197589,3188.09,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
578,2026-05-07 13:04:29,2920086918,1317923989,13987.71,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,987.71 UK pounds exceeds threshold of 8,000.00"
579,2026-05-07 13:04:32,1915450576,6338941383,6247.75,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '1915450576' made 4 transactions totalling 24,488.81 within 24h (each below 9,999.00 threshold)"
580,2026-05-07 13:04:34,4157434602,4158555857,285.25,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
581,2026-05-07 13:04:36,9534729015,4787209426,12111.49,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,111.49 UK pounds exceeds threshold of 8,000.00"
582,2026-05-07 13:04:38,9707989791,6513250919,10888.77,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,888.77 UK pounds exceeds threshold of 8,000.00"
583,2026-05-07 13:04:40,4401693545,3374945735,208.43,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
584,2026-05-07 13:04:40,7648291450,2941130754,3534.2,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
585,2026-05-07 13:04:42,2557121940,9839566913,2816.96,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
586,2026-05-07 13:04:44,6679205752,5109623450,12083.23,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,083.23 UK pounds exceeds threshold of 8,000.00"
587,2026-05-07 13:04:47,5770573061,5293429200,2063.78,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
588,2026-05-07 13:04:48,483243369,1563430485,11178.91,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,178.91 UK pounds exceeds threshold of 8,000.00"
589,2026-05-07 13:04:51,9450567744,9858405154,3892.5,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
590,2026-05-07 13:04:54,478656214,3958180238,60076.95,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 60,076.95 UK pounds exceeds threshold of 8,000.00"
591,2026-05-07 13:04:56,5056154035,7882534453,874.91,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
592,2026-05-07 13:04:58,4024921053,1431561040,6946.5,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '4024921053' made 3 transactions totalling 20,971.24 within 24h (each below 9,999.00 threshold)"
593,2026-05-07 13:04:59,5021785800,5064372260,10033.47,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,033.47 UK pounds exceeds threshold of 8,000.00"
594,2026-05-07 13:05:00,4928880336,1082642344,10753.26727,Yen,UK pounds,Japan,UK,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,753.27 Yen exceeds threshold of 10,000.00"
595,2026-05-07 13:05:02,557472407,790889166,16282.58,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 16,282.58 UK pounds exceeds threshold of 8,000.00"
596,2026-05-07 13:05:05,5171934087,4544577994,224.55,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
597,2026-05-07 13:05:08,2299676190,2534644942,5904.93,UK pounds,Euro,UK,France,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '2299676190' made 3 transactions totalling 17,668.62 within 24h (each below 9,999.00 threshold)"
598,2026-05-07 13:05:09,1915450576,4706175310,6532.4,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '1915450576' made 5 transactions totalling 31,021.21 within 24h (each below 9,999.00 threshold)"
599,2026-05-07 13:05:10,7788310039,5103043844,10720.19,UK pounds,Naira,UK,Nigeria,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,720.19 UK pounds exceeds threshold of 8,000.00"
600,2026-05-07 13:05:17,1300794618,2138505015,7844.3,Euro,Dirham,France,UAE,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '1300794618' made 3 transactions totalling 23,539.52 within 24h (each below 9,999.00 threshold)"
601,2026-05-07 13:05:23,7421451752,1103906765,20657.92,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 20,657.92 UK pounds exceeds threshold of 8,000.00"
602,2026-05-07 13:05:23,1503552540,9270301533,178.02,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
603,2026-05-07 13:05:27,3452368468,5517479211,13491.18,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,491.18 UK pounds exceeds threshold of 8,000.00"
604,2026-05-07 13:05:27,7501327339,8061984977,9487.9,UK pounds,UK pounds,UK,UK,ACH,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 9,487.90 UK pounds exceeds threshold of 8,000.00; Smurfing: account '7501327339' made 6 transactions totalling 46,326.42 within 24h (each below 9,999.00 threshold)"
605,2026-05-07 13:05:28,8820389620,4336977506,7384.96,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '8820389620' made 3 transactions totalling 22,165.55 within 24h (each below 9,999.00 threshold)"
606,2026-05-07 13:05:31,6377408382,1377603863,5532.0,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
607,2026-05-07 13:05:33,1573450167,6953672776,10623.89,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,623.89 UK pounds exceeds threshold of 8,000.00"
608,2026-05-07 13:05:37,3510078932,6544532856,15847.04,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 15,847.04 UK pounds exceeds threshold of 8,000.00"
609,2026-05-07 13:05:39,22513864,3773299204,6319.09,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
610,2026-05-07 13:05:39,2258004917,5221082217,1570.77,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
611,2026-05-07 13:05:41,7815302114,1842633217,6077.12,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '7815302114' made 3 transactions totalling 12,595.45 within 24h (each below 9,999.00 threshold)"
612,2026-05-07 13:05:42,9261607183,9237183134,3225.76,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
613,2026-05-07 13:05:44,809323614,6147074737,1621.22,Euro,UK pounds,Italy,UK,Cross-border,0,,0,LOW,,
614,2026-05-07 13:05:50,9534729015,3520600371,10439.49,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,439.49 UK pounds exceeds threshold of 8,000.00"
615,2026-05-07 13:05:51,1497614989,9005492388,627.8,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
616,2026-05-07 13:05:51,114506331,802455875,1925.52,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
617,2026-05-07 13:05:52,1239577273,4336977506,8030.74,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 8,030.74 UK pounds exceeds threshold of 8,000.00"
618,2026-05-07 13:05:52,721341092,5030513067,1120.45,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
619,2026-05-07 13:05:56,6116657264,578267324,11147.74,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,147.74 UK pounds exceeds threshold of 8,000.00"
620,2026-05-07 13:05:58,8995970854,2042968439,9556.33,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 9,556.33 UK pounds exceeds threshold of 8,000.00"
621,2026-05-07 13:06:00,7758268667,4048410232,17748.29,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 17,748.29 UK pounds exceeds threshold of 8,000.00"
622,2026-05-07 13:06:01,6091741961,5539384863,49124.53,UK pounds,Swiss franc,UK,Switzerland,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 49,124.53 UK pounds exceeds threshold of 8,000.00"
623,2026-05-07 13:06:01,5594636802,1380562223,1434.18,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
624,2026-05-07 13:06:05,809625447,4552293879,456.9,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
625,2026-05-07 13:06:08,5790471849,378335393,2198.61,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
626,2026-05-07 13:06:13,2972193348,5103043844,6389.69,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '2972193348' made 3 transactions totalling 19,354.72 within 24h (each below 9,999.00 threshold)"
627,2026-05-07 13:06:14,2745587504,7108024722,15705.57,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 15,705.57 UK pounds exceeds threshold of 8,000.00"
628,2026-05-07 13:06:16,2488093397,6668834736,2780.79,UK pounds,Naira,UK,UK,Cheque,0,,0,LOW,,
629,2026-05-07 13:06:16,8203229522,2074126451,5371.05,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '8203229522' made 3 transactions totalling 19,307.09 within 24h (each below 9,999.00 threshold)"
630,2026-05-07 13:06:16,8203229522,7963107269,8625.91,UK pounds,UK pounds,UK,UK,Cheque,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 8,625.91 UK pounds exceeds threshold of 8,000.00; Smurfing: account '8203229522' made 3 transactions totalling 19,307.09 within 24h (each below 9,999.00 threshold)"
631,2026-05-07 13:06:17,3690613055,1592487506,1065.32,Euro,UK pounds,Spain,UK,Cross-border,0,,0,LOW,,
632,2026-05-07 13:06:17,6831837137,1359741978,4125.35,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
633,2026-05-07 13:06:21,7758268667,7889074144,26556.69,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 26,556.69 UK pounds exceeds threshold of 8,000.00"
634,2026-05-07 13:06:22,7421451752,1300373577,5820.76,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '7421451752' made 3 transactions totalling 19,092.12 within 24h (each below 9,999.00 threshold)"
635,2026-05-07 13:06:24,3590434653,575628785,8251.41,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 8,251.41 UK pounds exceeds threshold of 8,000.00"
636,2026-05-07 13:06:26,3062818088,8310107528,6663.96,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
637,2026-05-07 13:06:28,8957544287,5858369125,13185.0,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,185.00 UK pounds exceeds threshold of 8,000.00"
638,2026-05-07 13:06:28,6216316627,5466123934,7987.7,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '6216316627' made 3 transactions totalling 23,793.03 within 24h (each below 9,999.00 threshold)"
639,2026-05-07 13:06:30,8952177221,6404529552,7769.7,UK pounds,UK pounds,UK,UK,ACH,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '8952177221' made 5 transactions totalling 38,152.67 within 24h (each below 9,999.00 threshold)"
640,2026-05-07 13:06:31,8115817731,4877050806,5157.85,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
641,2026-05-07 13:06:34,3109776919,5858369125,4510.35,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
642,2026-05-07 13:06:38,8987848252,1198366019,24873.23,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 24,873.23 UK pounds exceeds threshold of 8,000.00"
643,2026-05-07 13:06:38,3633597876,7665280978,7092.54,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
644,2026-05-07 13:06:39,3510078932,1625701030,6252.15,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '3510078932' made 4 transactions totalling 25,616.23 within 24h (each below 9,999.00 threshold)"
645,2026-05-07 13:06:41,3057117609,4173195094,11826.44,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,826.44 UK pounds exceeds threshold of 8,000.00"
646,2026-05-07 13:06:42,3704147823,3960870790,111.18,UK pounds,Pakistani rupee,UK,Pakistan,Cross-border,0,,0,LOW,,
647,2026-05-07 13:06:44,2595670415,6223365730,14878.8,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 14,878.80 UK pounds exceeds threshold of 8,000.00"
648,2026-05-07 13:06:45,6032005546,6444220418,20428.44,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 20,428.44 UK pounds exceeds threshold of 8,000.00"
649,2026-05-07 13:06:47,3850631048,1811715094,516.94,UK pounds,UK pounds,UK,UK,Cheque,0,,0,LOW,,
650,2026-05-07 13:06:50,1318348720,9138327944,3548.85,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
651,2026-05-07 13:06:53,7669236826,7207182461,10540.28,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,540.28 UK pounds exceeds threshold of 8,000.00"
652,2026-05-07 13:06:54,3472077705,6761658812,715.99,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
653,2026-05-07 13:06:57,8945040192,3186820676,1626.11,UK pounds,UK pounds,UK,UK,Cash Deposit,0,,0,LOW,,
654,2026-05-07 13:06:57,5027255141,4270865741,6267.26,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '5027255141' made 3 transactions totalling 18,779.26 within 24h (each below 9,999.00 threshold)"
655,2026-05-07 13:06:57,8067385284,2596686122,75.58,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,,0,LOW,,
656,2026-05-07 13:06:58,8768198399,9105769228,13155.2,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,155.20 UK pounds exceeds threshold of 8,000.00"
657,2026-05-07 13:06:59,461573471,4452427312,123.5,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
658,2026-05-07 13:07:02,7326442087,1493436023,7553.14,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
659,2026-05-07 13:07:03,1881336524,3350909595,5523.28,UK pounds,UK pounds,UK,UK,Credit card,0,,0,LOW,,
660,2026-05-07 13:07:04,9901680164,1465487567,9647.2,UK pounds,UK pounds,UK,UK,Debit card,1,Large-Cash-Transaction; Layering,50,MEDIUM,LargeTransaction|Layering,"Transaction amount 9,647.20 UK pounds exceeds threshold of 8,000.00; Fan-in: receiver 1465487567 received from 9 distinct senders within 72h (chain amount: 120,793.78, threshold: 10,000.00)"
661,2026-05-07 13:07:10,6131516802,2061962556,20914.41,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 20,914.41 UK pounds exceeds threshold of 8,000.00"
662,2026-05-07 13:07:12,8765837034,5706648130,2213.36,UK pounds,Albanian lek,UK,Albania,Cross-border,0,,0,LOW,,
663,2026-05-07 13:07:13,5065960445,6002039178,10938.74,UK pounds,Turkish lira,UK,Turkey,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,938.74 UK pounds exceeds threshold of 8,000.00"
664,2026-05-07 13:07:15,7562195312,6141012579,435.56,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
665,2026-05-07 13:07:18,2796222236,1546785666,16813.99,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 16,813.99 UK pounds exceeds threshold of 8,000.00"
666,2026-05-07 13:07:24,1235653887,7010094377,342.55,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
667,2026-05-07 13:07:30,5982914936,7927090992,9116.18,UK pounds,UK pounds,UK,UK,Debit card,1,Large-Cash-Transaction; Structuring/Smurfing,65,HIGH,LargeTransaction|Smurfing,"Transaction amount 9,116.18 UK pounds exceeds threshold of 8,000.00; Smurfing: account '5982914936' made 3 transactions totalling 28,512.17 within 24h (each below 9,999.00 threshold)"
668,2026-05-07 13:07:32,4379144095,1854828415,6242.29,UK pounds,UK pounds,UK,UK,Debit card,0,,0,LOW,,
669,2026-05-07 13:07:33,7323084173,7080357663,18400.93,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 18,400.93 UK pounds exceeds threshold of 8,000.00"
670,2026-05-07 13:07:33,5898742877,7954352634,11233.55,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,233.55 UK pounds exceeds threshold of 8,000.00"
671,2026-05-07 13:07:36,1043505774,6953672776,6155.03,UK pounds,Mexican Peso,UK,Mexico,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '1043505774' made 3 transactions totalling 18,387.36 within 24h (each below 9,999.00 threshold)"
672,2026-05-07 13:07:37,2320387917,1465487567,17397.62,UK pounds,UK pounds,UK,UK,ACH,1,Large-Cash-Transaction; Layering,50,MEDIUM,LargeTransaction|Layering,"Transaction amount 17,397.62 UK pounds exceeds threshold of 8,000.00; Fan-in: receiver 1465487567 received from 10 distinct senders within 72h (chain amount: 138,191.40, threshold: 10,000.00)"
673,2026-05-07 13:07:37,2365007895,2812285491,13262.59,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 13,262.59 UK pounds exceeds threshold of 8,000.00"
674,2026-05-07 13:07:45,7998970499,1662589468,2046.55,UK pounds,UK pounds,UK,UK,ACH,0,,0,LOW,,
675,2026-05-07 13:07:47,1615142471,6034997194,5803.89,Albanian lek,UK pounds,Albania,UK,Cross-border,1,Structuring/Smurfing,40,MEDIUM,Smurfing,"Smurfing: account '1615142471' made 3 transactions totalling 17,296.52 within 24h (each below 9,999.00 threshold)"
676,2026-05-07 13:07:49,1491989064,2482957386,26487.35,UK pounds,UK pounds,UK,UK,Credit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 26,487.35 UK pounds exceeds threshold of 8,000.00"
677,2026-05-07 13:08:13,5291333275,6953672776,12724.41,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 12,724.41 UK pounds exceeds threshold of 8,000.00"
678,2026-05-07 13:08:13,5021785800,9085148554,10441.89,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 10,441.89 UK pounds exceeds threshold of 8,000.00"
679,2026-05-07 13:08:21,4082552798,4173195094,11896.92,UK pounds,UK pounds,UK,UK,Debit card,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,896.92 UK pounds exceeds threshold of 8,000.00"
680,2026-05-07 13:08:25,703647888,1431561040,19964.67,UK pounds,UK pounds,UK,UK,ACH,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 19,964.67 UK pounds exceeds threshold of 8,000.00"
681,2026-05-07 13:08:25,6336054393,5039565944,11685.87,UK pounds,UK pounds,UK,UK,Cheque,0,Large-Cash-Transaction,25,LOW,LargeTransaction,"Transaction amount 11,685.87 UK pounds exceeds threshold of 8,000.00"
682,2026-05-07 13:08:27,4126443116,3152316451,5885.14,Euro,UK pounds,Austria,UK,Cross-border,0,,0,LOW,,
683,2026-05-07 13:08:27,937896594,7228171825,5002.28,UK pounds,UK pounds,UK,UK,Debit card,0,Fan-Out/Money-Mule,20,LOW,RapidMovement,"RapidMovement: account '7228171825' received 5,002.28 then re-sent 5,086.10 (101.7%) within 24h"
