Sanction_ID,Entity_Type,Primary_Name,AKA_Names,Date_of_Birth,Nationality,Country_of_Residence,Passport_ID,List_Source,Program,Designation_Category,Designation_Reason,Date_Added_to_List,Date_Last_Updated,Status,Remarks
EU-509061,Individual,Li Fangwei alias Karl Lee,Lee Karl alias Fangwei Li | Li Lee | Al-Farsi,27-10-1981,Chinese,China,H6179392,OFAC SDN,IRAN,WMD Proliferation,WMD Proliferation - Designated under OFAC SDN (IRAN),29-01-2015,11-06-2023,Active,Cross-listed on OFAC list
ED-312022,Individual,Rostam Aziz,Aziz Rostam,13-06-1984,Tanzanian,Tanzania,K4705567,DFAT Australia,AML/CTF Designation,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under DFAT Australia (AML/CTF Designation),16-03-2004,29-09-2023,Active,
HMT-276038,Individual,Karim Masimov,Masimov Karim,28-01-1950,Kazakhstani,Kazakhstan,K6274439,Interpol RN,Red Notice,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under Interpol RN (Red Notice),09-01-2009,16-10-2025,Active,Cross-listed on OFAC list
ED-164800,Individual,Sajid Mir,Mir Sajid,10-01-1982,Pakistani,Pakistan,L8873712,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),26-01-2006,12-08-2024,Active,
UN-430322,Individual,Saleh Al-Arouri,Al-Arouri Saleh,08-01-1976,Palestinian,Palestine,I8240971,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),01-06-2016,21-06-2023,Active,Cross-listed on UN list
EU-613408,Individual,Izz al-Din al-Qassam,al-Qassam al-Din Izz | Izz al-Qassam,05-06-1967,Syrian,Syria,T4903782,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),08-08-2012,09-11-2025,Active,
IRP-306139,Individual,Zaher Jabarin,Jabarin Zaher,25-04-1963,Jordanian,Jordan,J9700344,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),27-11-2007,27-11-2024,Active,
UN-205327,Individual,Osama Khayyam,Khayyam Osama | Al-Masri,23-12-1956,Syrian,Syria,B3931616,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),06-02-2009,14-06-2025,Active,Cross-listed on UN list
OFAC-229324,Individual,Hasan Alizadeh,Alizadeh Hasan,03-02-1987,Iranian,Iran,A5515602,OFAC SDN,IRAN,Sanctions Evasion,Sanctions Evasion - Designated under OFAC SDN (IRAN),09-05-2021,30-01-2025,Active,Cross-listed on UK HMT list
FIU-149185,Individual,Ayman Mohammed Rabie Al-Z,Al-Z Rabie Mohammed Ayman | Ayman Al-Z | Al-Muhajir,16-03-1964,Egyptian,Egypt,G9599624,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),17-09-2023,06-06-2023,Active,
EU-727850,Individual,Abdullah Ahmed Al-Faisal,Al-Faisal Ahmed Abdullah | Abdullah Al-Faisal,07-11-1989,Saudi Arabian,Saudi Arabia,V4364183,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),15-05-2015,09-10-2024,Active,Cross-listed on UK HMT list
OFAC-383028,Individual,Ramzan Akhmadovich Kadyrov,Kadyrov Akhmadovich Ramzan | Ramzan Kadyrov,24-07-1956,Russian,Russia,G3077016,OFAC SDN,RUSSIA-EO14024,Human Rights Violation,Human Rights Violation - Designated under OFAC SDN (RUSSIA-EO14024),11-10-2013,02-09-2023,Active,Cross-listed on UN list
UN-756653,Individual,Sergei Lavrov Viktorovich,Viktorovich Lavrov Sergei | Sergei Viktorovich,19-02-1964,Russian,Russia,I2347833,EU Consolidated,EU Russia Sanctions,Illicit Finance - Energy Sector,Illicit Finance - Energy Sector - Designated under EU Consolidated (EU Russia Sanctions),08-09-2007,25-11-2025,Active,
ED-747003,Individual,Rustam Madumarov,Madumarov Rustam,20-11-1963,Uzbek,Uzbekistan,O5544640,Interpol RN,Red Notice,Organised Crime / Mafia,Organised Crime / Mafia - Designated under Interpol RN (Red Notice),10-09-2008,28-11-2025,Active,
ED-587245,Individual,Khamzat Chimaev alias,alias Chimaev Khamzat | Khamzat alias,25-06-1957,Swedish,Sweden,P5112276,EU Consolidated,EU Counter-Terrorism,Terrorism Financing,Terrorism Financing - Designated under EU Consolidated (EU Counter-Terrorism),19-08-2016,11-08-2023,Active,Cross-listed on OFAC list
UN-731535,Individual,Fuad Shukr,Shukr Fuad | Al-Libi,05-09-1976,Lebanese,Lebanon,Q8032860,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),12-07-2009,03-02-2023,Active,
FIU-154789,Individual,Muhammad Sinwar,Sinwar Muhammad,07-10-1987,Palestinian,Palestine,Y9541650,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),07-02-2011,29-09-2023,Active,
HMT-465949,Individual,Ismail Haniyeh Jr.,Jr. Haniyeh Ismail | Ismail Jr. | Al-Amin,06-08-1955,Qatari,Qatar,K7250666,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),15-09-2007,23-07-2024,Active,
OFAC-867121,Individual,Moussa Abu Marzouk,Marzouk Abu Moussa | Moussa Marzouk,19-12-1961,Qatari,Qatar,E8982270,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),07-10-2008,29-07-2025,Active,
UN-752676,Individual,Abu Ubaida Mohammed,Mohammed Ubaida Abu | Abu Mohammed,17-01-1972,Palestinian,Palestine,O5704462,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),06-03-2011,30-01-2023,Active,Cross-listed on UN list
FIU-662747,Individual,Nour Baraka,Baraka Nour,03-09-1974,Malian,Mali,E7528476,UN 1267,Al-Qaida,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (Al-Qaida),22-12-2021,08-01-2024,Active,Cross-listed on OFAC list
IRP-636671,Individual,Mohamad Khair Mousa,Mousa Khair Mohamad | Mohamad Mousa,04-08-1985,Syrian,Syria,T8279292,UN 1267,ISIL/Da'esh,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (ISIL/Da'esh),05-05-2014,28-03-2025,Active,
ED-609967,Individual,Turki Al-Bin'ali,Al-Bin'ali Turki,03-10-1991,Bahraini,Bahrain,O7185664,UN 1267,ISIL/Da'esh,Terrorism Financing,Terrorism Financing - Designated under UN 1267 (ISIL/Da'esh),06-04-2010,30-07-2023,Active,Cross-listed on OFAC list
IRP-269135,Individual,Shekau Abubakar,Abubakar Shekau,10-12-1976,Nigerian,Nigeria,S4502070,OFAC SDN,SDGT,Terrorism Financing,Terrorism Financing - Designated under OFAC SDN (SDGT),13-09-2015,04-09-2025,Active,Cross-listed on UK HMT list
IRP-801579,Individual,Idriss Deby fils,fils Deby Idriss | Idriss fils | Al-Libi,28-05-1962,Chadian,Chad,X1957574,DFAT Australia,AML/CTF Designation,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under DFAT Australia (AML/CTF Designation),24-03-2016,27-06-2023,Active,
ED-753837,Individual,Felix Tshisekedi Tshilombo,Tshilombo Tshisekedi Felix | Felix Tshilombo,19-04-1982,Congolese,DRC,N6004090,Interpol RN,Red Notice,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under Interpol RN (Red Notice),14-11-2004,21-05-2023,Active,
UN-343314,Individual,Jose Eduardo Dos Santos Jr.,Jr. Santos Dos Eduardo Jose | Jose Jr.,03-02-1959,Angolan,Angola,M5143661,OFAC SDN,SDGT,Corruption / Kleptocracy,Corruption / Kleptocracy - Designated under OFAC SDN (SDGT),12-08-2013,12-02-2024,Active,
EU-715164,Individual,Agba Jalingo,Jalingo Agba | Al-Farsi,20-10-1964,Nigerian,Nigeria,K3865851,India FIU,STR Alert,Money Laundering,Money Laundering - Designated under India FIU (STR Alert),03-09-2019,17-04-2024,Active,
